下午5時 0.003559(92/530)	公司營運 0.002373(63/102)	沒人 0.002332(54/364)	回饋金 0.002046(50/136)	達成共識 0.001964(52/202)	為新台幣 0.001841(51/112)	都市更新 0.0018(40/342)	派人 0.001637(48/162)	替代役男 0.001596(38/49)	中古公寓 0.001555(38/38)	
大法人 0.009258(216/361)	8月21日 0.003619(84/134)	每日郵報 0.003072(77/128)	股王大立光 0.00303(71/131)	產險公司 0.002778(67/76)	月新高 0.002736(60/153)	財政收入 0.002399(56/59)	7月31日 0.002147(58/288)	滬港通 0.002062(47/56)	7月3日 0.00202(44/140)	
推播通知 0.0126(332/332)	重大新聞 0.0126(331/332)	通知快 0.012524(330/330)	快下載 0.012524(330/330)	消息人士 0.008805(238/378)	解決問題 0.005617(148/356)	報導指出 0.004403(124/498)	明星學校 0.00315(84/104)	年減 0.00315(84/207)	國安會秘書長 0.002923(78/180)	
開發單位 0.004455(119/122)	弱勢家庭 0.004343(116/316)	穿戴裝置 0.004081(105/234)	不少人 0.003706(105/226)	上午9時 0.003182(80/246)	機場捷運 0.002995(77/160)	環評委員 0.002883(77/92)	慈善基金會 0.002508(69/255)	水資源 0.002434(64/190)	通過環評 0.002359(63/94)	
主辦單位 0.015564(405/532)	主委曾銘宗 0.008348(214/226)	金管會主委 0.00827(215/230)	服貿協議 0.006319(158/822)	台中市長 0.006046(166/622)	交通部觀光局 0.00511(139/300)	台灣觀光 0.004369(113/266)	打造出 0.003433(91/188)	人參加 0.003004(70/160)	公司表示 0.002965(73/290)	
集體自衛權 0.013001(367/381)	日本政府 0.006235(173/384)	市場需求 0.005704(162/440)	美日 0.005668(157/196)	海軍陸戰隊 0.00418(115/172)	安倍晉三 0.003932(111/120)	今年3月 0.003897(112/370)	中共中央 0.003755(110/272)	報導指出 0.003118(91/498)	業績成長 0.002834(73/230)	
2014年7月 0.013576(324/760)	區域經濟 0.003623(84/394)	貧富差距 0.002999(70/128)	聲明指出 0.002541(63/184)	控股公司 0.002457(56/112)	社會企業 0.001833(46/158)	大城市 0.001833(41/172)	貨品貿易 0.001749(41/123)	咖啡鏽 0.001749(42/42)	咖啡農 0.001708(41/41)	
美國國務卿 0.006618(161/250)	國務卿凱瑞 0.005993(147/226)	無人 0.00566(124/540)	觀光景點 0.004329(113/214)	新技術 0.003788(91/138)	造成嚴重 0.003122(76/196)	觀光旅遊局 0.00308(75/200)	自行車道 0.002955(68/152)	美國海軍 0.002955(69/122)	即時通訊 0.002373(56/72)	
應用程式 0.003999(102/186)	產業升級 0.002626(68/114)	世界展望會 0.002424(59/82)	公共托育 0.002303(57/95)	開發商 0.002141(56/186)	托育中心 0.002141(56/100)	台灣市場 0.002061(50/286)	搶市 0.00202(47/151)	受歡迎 0.001859(47/242)	附加價值 0.001859(47/214)	
高雄市政府 0.007968(205/1468)	公車路線 0.0056(151/200)	交通局長 0.003608(98/251)	食品藥物 0.003495(93/118)	智慧型手機 0.002481(71/1126)	藥物管理 0.002481(65/87)	安全衛生 0.001955(52/120)	衛生管理法 0.001879(50/70)	合作推出 0.001842(40/112)	管理署 0.001804(49/57)	
智慧型手機 0.018539(503/1126)	平板電腦 0.013535(371/636)	大飯店 0.010116(279/448)	合作夥伴 0.005868(171/298)	穿戴式裝置 0.004788(133/198)	手機晶片 0.003492(100/178)	換機 0.002952(84/183)	手機品牌 0.002916(79/112)	國際金融 0.002664(73/165)	晶華酒店 0.002556(69/140)	
研究中心 0.003004(64/306)	全國電子 0.002551(63/135)	月餅禮盒 0.002346(59/162)	中秋月餅 0.001975(46/73)	食物銀行 0.001975(50/62)	蛋黃酥 0.001934(46/117)	現金增資 0.001893(44/118)	今年2月 0.001852(41/266)	交通助理員 0.001729(42/42)	今年中秋 0.001564(38/40)	
再生能源 0.015963(439/444)	主計總處 0.005927(157/372)	7月1日 0.003273(91/602)	減量 0.0032(90/112)	巡弋飛彈 0.003164(89/103)	願景 0.002873(72/326)	溫室氣體 0.002727(73/82)	合作關係 0.002546(68/260)	住房專案 0.0024(65/91)	審議委員會 0.002291(61/290)	
都市計畫 0.012429(339/444)	國際機場 0.007522(206/308)	台灣高鐵 0.006125(172/252)	高鐵公司 0.005588(159/168)	區段徵收 0.004334(124/170)	今年7月 0.004299(125/302)	醫護人員 0.004048(114/156)	桃園航空城 0.003833(106/208)	專案小組 0.003654(111/266)	航空城計畫 0.003654(100/114)	
值得注意 0.005958(165/376)	石化產業 0.004723(129/321)	購票 0.003633(97/238)	業者表示 0.003524(97/346)	杜紫軍表示 0.002906(81/141)	選舉委員會 0.002834(76/140)	今天宣布 0.002616(72/202)	國營事業 0.002616(72/210)	聲明表示 0.002144(53/156)	新人們 0.002035(58/87)	
公路總局 0.011914(308/324)	人民幣匯率 0.002592(68/75)	工務段 0.002321(60/61)	就業中心 0.002128(60/100)	森林遊樂區 0.002051(52/113)	金融業者 0.001973(54/66)	人民幣兌 0.001896(49/54)	台股指數 0.001818(47/129)	百威世足 0.00178(46/46)	預計年底 0.001702(42/142)	
家扶中心 0.012034(343/353)	創新高 0.008221(231/652)	快捷巴士 0.006087(175/202)	台灣大道 0.005982(173/246)	器官捐贈 0.004583(131/131)	局長林良泰 0.004548(125/131)	7月營收 0.004128(121/251)	無障礙 0.003743(108/150)	靜宜大學 0.003428(96/98)	產能利用率 0.002799(81/194)	
模範父親 0.004263(101/121)	和平穩定 0.002322(54/117)	中國政府 0.002195(48/282)	今年1月 0.002111(56/236)	食品公司 0.001984(45/82)	為主題 0.0019(48/138)	預計今年 0.001858(42/280)	今天報導 0.001773(39/244)	生育獎勵金 0.001689(40/40)	6月7日 0.001478(30/132)	
新產品 0.008778(230/521)	七夕情人節 0.005942(144/184)	8月2日 0.005903(152/244)	公共建設 0.003872(105/258)	線上遊戲 0.003834(102/134)	成為全球 0.003335(83/246)	國際大廠 0.003144(79/150)	物聯網 0.003067(79/188)	一段時間 0.002875(74/334)	競爭優勢 0.002607(61/154)	
去年10月 0.004415(105/148)	巴拿馬運河 0.002957(72/126)	朱立倫表示 0.002916(69/206)	彈道飛彈 0.002876(62/153)	軸電腦 0.002147(53/53)	電動機車 0.001985(49/80)	青年就業 0.001904(46/72)	緊急應變 0.001823(43/130)	公共設施 0.001823(47/176)	朱立倫說 0.001782(44/116)	
新北市政府 0.008845(227/470)	乙華旅行社 0.001901(49/49)	提供協助 0.001785(43/94)	期貨分析師 0.001707(45/55)	7月5日 0.00163(42/78)	休閒農業 0.00163(44/72)	遠東國際 0.001591(43/56)	民眾認為 0.001513(37/138)	社區照顧 0.001475(38/40)	品保協會 0.001475(38/41)	
12年國教 0.010949(373/404)	十二年國教 0.008503(284/352)	免試入學 0.008205(275/275)	特色招生 0.004983(167/167)	志願序 0.003849(129/129)	基北區 0.003193(107/107)	郝龍斌 0.003103(101/1432)	級分 0.002685(86/130)	新北市 0.002477(89/2388)	選填志願 0.002447(83/112)	
