新技術 0.003305(85/138)	中央公園 0.00311(81/200)	國安會秘書長 0.002955(72/180)	觸控面板 0.002605(68/111)	今天召開 0.002372(55/210)	人民決定 0.002022(48/115)	共同決定 0.001983(51/135)	秘書長金溥聰 0.001866(44/103)	王女士 0.001789(46/46)	稽徵機關 0.00175(46/72)	
兩岸關係 0.032414(1494/1526)	國台辦主任 0.020973(967/968)	主任張志軍 0.020712(954/954)	來台 0.014177(646/2678)	大陸國台辦 0.009488(439/628)	訪台 0.008619(411/858)	和平發展 0.005667(262/390)	台灣民眾 0.004885(225/560)	陸委會主委 0.004733(220/396)	張志軍訪 0.004603(213/370)	
地方政府 0.033508(905/1190)	社會住宅 0.028058(764/792)	住宅政策 0.008248(215/286)	都市更新 0.007291(200/342)	租金補貼 0.00626(172/222)	成長動能 0.005708(156/402)	居住正義 0.005192(136/196)	主要原因 0.004934(131/250)	實價登錄 0.004934(130/248)	內政部長陳威仁 0.004345(119/144)	
協會理事長 0.008073(194/388)	戶政事務所 0.007496(178/200)	媒體訪問 0.00659(157/222)	議長黃景泰 0.005766(140/384)	罹難者 0.005355(133/784)	接受媒體 0.005313(129/314)	7月1日 0.00486(121/602)	市長選舉 0.004654(108/299)	基隆市議長 0.004654(113/219)	美國國務院 0.003584(87/132)	
自由經濟 0.023549(580/770)	經濟示範區 0.02105(519/708)	特別條例 0.007208(182/392)	呼籲民眾 0.00684(163/250)	貿易協定 0.006348(155/328)	示範區特別 0.006266(151/296)	解決問題 0.004464(111/356)	台灣前途 0.004014(95/264)	新產品 0.003809(97/521)	俄羅斯總統 0.003072(74/114)	
新興市場 0.021676(543/942)	服務中心 0.004679(120/326)	副市長吳宏謀 0.00312(78/78)	搶市 0.00292(70/151)	工作人員 0.00288(79/512)	汽車旅館 0.0024(58/86)	海運快遞 0.0022(56/72)	捷運局長 0.00208(51/66)	影視作品 0.00208(52/52)	近年來 0.00204(54/320)	
主席習 0.005368(126/484)	駐美 0.004836(119/122)	僑教中心 0.004549(111/111)	產業發展 0.00418(98/754)	美代表 0.004057(100/104)	賴市長 0.003688(95/120)	日本首相 0.003401(88/204)	大陸國家 0.003074(76/634)	服務中心 0.003033(71/326)	台南市政府 0.002992(71/206)	
8月7日 0.005141(115/280)	營收成長 0.004515(100/199)	機車騎士 0.004336(95/115)	無人 0.003621(83/540)	智慧手機 0.003085(68/348)	公司總經理 0.002638(54/228)	集團總裁 0.002504(53/156)	石油海外 0.002414(54/54)	涉貪 0.00237(53/343)	自動化設備 0.00237(52/71)	
歷史新高 0.022242(534/928)	代表處 0.005156(120/286)	中華民國駐 0.003537(83/162)	新高紀錄 0.002855(69/370)	手機市場 0.002813(66/192)	指標建案 0.002642(64/66)	勞動力發展 0.002557(60/152)	房仲業者 0.002429(54/216)	執行長林鴻池 0.002386(56/149)	人士表示 0.002173(48/246)	
2014年7月 0.013991(365/760)	陳震遠 0.005804(151/151)	陳震武 0.004267(111/111)	解決問題 0.00319(87/356)	貧富差距 0.002729(69/128)	教育部長蔣偉寧 0.002268(58/134)	麥德姆颱風 0.002076(52/322)	助理教授 0.001999(51/112)	上午8時 0.001961(45/282)	同儕審查 0.001961(51/51)	
