地方政府 0.024122(693/1190)	基隆市長 0.009923(292/789)	都市計畫 0.008828(249/444)	專案小組 0.004756(140/266)	區段徵收 0.004448(131/170)	交通部觀光局 0.004311(126/300)	桃園航空城 0.003832(115/208)	台灣觀光 0.003661(107/266)	上午8時 0.00349(108/282)	航空城計畫 0.00349(105/114)	
大法人 0.00727(189/361)	監察委員 0.002923(75/506)	股王大立光 0.002773(74/131)	專家表示 0.002548(61/118)	河野談話 0.002548(68/68)	資本支出 0.002061(57/305)	月新高 0.001874(51/153)	南韓政府 0.001761(43/102)	緊急應變 0.001724(50/130)	環境保護 0.001649(44/274)	
歷史新高 0.020944(546/928)	沒人 0.006095(164/364)	新高紀錄 0.002549(71/370)	剩餘天數 0.002069(53/82)	日常生活 0.001995(55/178)	資助人 0.001995(54/54)	銷售金額 0.001921(50/89)	目前市場 0.001847(48/120)	除權息 0.001847(47/120)	人士表示 0.001773(47/246)	
暑假期間 0.005108(138/302)	主席習 0.004583(133/484)	觀光產業 0.004583(138/384)	營收為 0.004548(130/321)	美國國防部 0.003394(103/166)	大陸國家 0.003009(81/634)	業者表示 0.002834(82/346)	世足賽 0.002729(76/400)	大貓熊 0.002694(80/105)	下午3時 0.002484(69/246)	
台獨黨綱 0.015507(477/491)	高雄市長 0.013915(433/772)	主席蔡英文 0.011996(370/566)	支持者 0.010794(328/526)	市長賴清德 0.010729(319/388)	人力銀行 0.009688(296/324)	總統大選 0.008615(262/460)	台南市長 0.008485(263/298)	服貿協議 0.006697(209/822)	兩岸政策 0.005852(178/215)	
經濟發展 0.009215(252/1042)	台灣民眾 0.004517(128/560)	現金股利 0.004337(118/282)	日本政府 0.004084(110/384)	下午5時 0.003108(89/530)	變形金剛 0.003108(86/182)	國際油價 0.002855(76/207)	造成重大 0.002819(72/156)	商業營業額 0.002638(70/99)	獲利表現 0.002602(70/178)	
金融海嘯 0.003843(97/272)	大陸政府 0.003655(100/234)	無人 0.003165(89/540)	固態硬碟 0.00309(82/133)	海峽兩岸 0.002638(73/350)	競爭激烈 0.002299(60/186)	近年來 0.002035(51/320)	影視作品 0.00196(52/52)	台北舉行 0.001809(47/60)	不動產統一 0.001734(46/46)	
彭博報導 0.010247(286/394)	協會理事長 0.007694(212/388)	今天公布 0.003707(102/262)	訪台 0.003218(98/858)	旺旺集團 0.002518(74/82)	國際金融 0.002134(59/165)	集團旗下 0.002064(72/382)	暑假期間 0.001994(57/302)	就業中心 0.001994(55/100)	國民待遇 0.001924(55/55)	
黨中央 0.006569(174/490)	世界遺產 0.003457(90/90)	電力公司 0.003304(84/152)	在野大聯盟 0.002996(77/211)	大地震 0.002766(72/130)	小朋友們 0.001844(45/72)	前副總統呂秀蓮 0.001806(47/67)	地景藝術節 0.001729(46/56)	羊膜穿刺 0.00169(44/44)	大陸股市 0.001575(39/100)	
數據顯示 0.007366(207/302)	大陸房市 0.003666(104/104)	中國經濟 0.00363(105/197)	新低 0.00356(98/200)	傳統旺季 0.002608(74/185)	市場預期 0.002362(63/358)	金融商品 0.002115(59/110)	今年來 0.002044(58/116)	台灣國策 0.001974(56/56)	新興國家 0.001974(56/138)	
