家扶中心 0.004413(339/353)	永續發展 0.002108(154/262)	人士說 0.002068(160/238)	今年4月 0.001805(134/366)	社會責任 0.001607(115/338)	開發單位 0.001568(117/122)	8月7日 0.001541(116/280)	電信業者 0.001502(117/284)	頒獎典禮 0.001251(97/172)	創園區 0.001225(92/118)	
12年國教 0.004918(381/404)	十二年國教 0.00454(347/352)	成交金額 0.004384(335/456)	免試入學 0.003578(275/275)	台北股市 0.003396(259/355)	台灣經濟 0.003383(255/728)	股市今天 0.002745(210/247)	7月1日 0.002667(202/602)	股價指數 0.002615(203/234)	特色招生 0.002173(167/167)	
環保局表示 0.002139(143/154)	罹難者 0.001746(118/784)	開罰 0.001659(116/208)	高等法院 0.001208(90/160)	森林遊樂區 0.001193(79/113)	政府環保局 0.001106(75/112)	污染防治 0.001091(75/94)	水污染 0.001062(74/90)	勒令停工 0.001019(70/70)	河野談話 0.000989(68/68)	
中國大陸 0.026857(1975/4584)	行動裝置 0.004012(297/422)	解決方案 0.003332(246/466)	世足賽 0.002543(183/400)	鴻海集團 0.002434(188/344)	同業公會 0.002421(174/274)	經濟發展 0.002339(163/1042)	集團董事長 0.00223(161/472)	競爭對手 0.002094(172/326)	台灣市場 0.002067(156/286)	
台獨黨綱 0.006397(454/491)	高雄市長 0.005014(369/772)	支持者 0.004246(302/526)	主席蔡英文 0.004162(300/566)	總統大選 0.003296(239/460)	人工生殖 0.002835(203/203)	服貿協議 0.002724(198/822)	市長賴清德 0.002612(196/388)	台南市長 0.002319(168/298)	凍結台獨 0.002263(168/187)	
合併營收 0.010595(1277/1277)	季營收 0.007824(943/943)	智慧型手機 0.003866(461/1126)	季成長 0.003352(402/430)	歷史新高 0.003186(374/928)	年增 0.003012(361/694)	法人預估 0.002838(342/342)	季合併 0.002829(341/341)	新高紀錄 0.002655(313/370)	5月營收 0.00258(311/311)	
政治人物 0.003904(292/498)	實價課稅 0.003718(282/390)	民進黨主席 0.002815(210/598)	沒人 0.002616(198/364)	社會住宅 0.002497(179/792)	參選人柯文哲 0.002284(171/540)	房地合一 0.002218(169/478)	外籍勞工 0.002072(156/200)	產業發展 0.001766(134/754)	研究中心 0.001713(129/306)	
合宜住宅 0.010615(830/944)	電子商務 0.006581(500/722)	市長胡志強 0.003547(267/654)	八德合宜 0.003444(269/269)	產業發展 0.002843(225/754)	快捷巴士 0.002587(202/202)	副縣長 0.002484(193/562)	涉貪 0.002484(191/343)	營建署長 0.002458(193/207)	台灣大道 0.002254(175/246)	
郝龍斌 0.009308(983/1432)	馬總統 0.006779(725/2302)	監督條例 0.006478(689/689)	服貿協議 0.005557(597/822)	兩岸協議 0.005397(574/581)	國民黨團 0.005218(555/555)	協議監督 0.004729(502/503)	監察委員 0.004673(498/506)	自由經濟 0.004156(442/770)	經濟示範區 0.003667(394/708)	
地方政府 0.00561(418/1190)	房地合一 0.004235(309/478)	工作人員 0.0029(202/512)	長江宜樺 0.002642(196/702)	文教基金會 0.002574(189/284)	社會住宅 0.002451(197/792)	行政院長江 0.002437(183/728)	石化管線 0.002369(173/528)	今天表示 0.002097(165/1074)	住宅政策 0.001906(151/286)	
新聞相關 0.024972(1821/2914)	相關影音 0.024185(1766/2756)	總統馬英九 0.007718(579/1040)	國是會議 0.006253(458/468)	國家公園 0.006172(451/484)	經貿國是 0.005833(430/440)	縣長吳志揚 0.004219(310/374)	國民黨立委 0.004096(309/486)	桃園縣長 0.002916(216/240)	副縣長 0.002835(208/562)	
