相關單位 0.013621(437/708)	氣候變遷 0.007964(252/360)	當地居民 0.007838(264/356)	生物多樣性 0.007142(224/248)	成為台灣 0.002465(78/226)	體驗活動 0.002086(62/232)	海峽兩岸 0.002086(69/350)	事故發生 0.00196(55/122)	集團旗下 0.001896(68/382)	山坡地住宅 0.001833(58/58)	
運動中心 0.003935(124/172)	捷運公司 0.003775(117/218)	台北捷運 0.003487(108/288)	救難人員 0.002592(77/106)	募款晚會 0.0024(75/75)	回饋金 0.002304(70/136)	和平電廠 0.00224(69/70)	台北市政府 0.002144(63/372)	托育資源 0.002112(66/83)	事件發生 0.001856(62/300)	
彰化縣政府 0.003152(96/220)	報名參加 0.002664(83/224)	副縣長 0.0026(82/562)	回饋社會 0.002242(71/190)	吳副總統 0.00208(62/82)	主辦單位 0.002047(71/532)	縣長卓伯源 0.001852(57/134)	旅行業者 0.001852(56/138)	大陸組團社 0.00182(54/86)	回應表示 0.001787(62/146)	
人力銀行 0.009558(296/324)	應變中心 0.00856(261/470)	主辦單位 0.008013(249/532)	主計總處 0.006469(202/372)	行政院長江宜樺 0.003894(124/196)	調查顯示 0.003798(115/290)	社會新鮮人 0.00309(99/144)	台北市議員 0.002414(81/208)	官員指出 0.002382(75/162)	小跌 0.002349(76/180)	
台北市長參選人 0.021636(700/1282)	經濟發展 0.006472(206/1042)	台灣人民 0.005315(168/464)	網路簡訊 0.004534(146/146)	民主法治 0.004252(137/149)	總統說 0.004127(131/350)	參選人柯文哲 0.00344(109/540)	求職者 0.003314(107/264)	兩岸人民 0.002939(98/194)	總統表示 0.002814(96/240)	
幸福人壽 0.006044(187/187)	國寶人壽 0.005365(168/295)	金融海嘯 0.00362(111/272)	女王頭 0.003555(110/110)	上午11時 0.002812(89/404)	生技產業 0.002489(78/216)	大陸政府 0.002424(76/234)	競爭激烈 0.002166(73/186)	接管國寶 0.001778(55/55)	立院黨團 0.001616(45/134)	
地方政府 0.024819(916/1190)	社會住宅 0.021343(792/792)	合宜住宅 0.016007(606/944)	新北市 0.014363(537/2388)	住宅政策 0.00636(235/286)	北市政府 0.004527(169/188)	租金補貼 0.004123(154/222)	副縣長 0.003854(145/562)	營建署長 0.003557(131/207)	高房價 0.003369(130/164)	
重大新聞 0.010347(332/332)	推播通知 0.010316(332/332)	通知快 0.010285(330/330)	快下載 0.010285(330/330)	人工生殖 0.006171(199/203)	感染者 0.004519(141/150)	報導指出 0.003366(101/498)	高市府 0.003055(102/336)	愛滋感染 0.002774(89/89)	疾病管制 0.002681(86/86)	
解決方案 0.005704(169/466)	太陽光電 0.004664(139/174)	國際市場 0.003188(92/254)	季營運 0.002986(89/237)	預計今年 0.002785(83/280)	今年度 0.002651(83/268)	8月8日 0.002517(64/140)	綠建築 0.002483(80/196)	未來發展 0.002315(68/246)	無線充電 0.002181(65/127)	
身障者 0.003588(113/148)	8月2日 0.003394(104/244)	勞動力發展 0.003362(104/152)	發展署 0.002715(86/98)	障礙者 0.002424(74/314)	身心障礙 0.001907(62/520)	身障朋友 0.001907(59/82)	台灣產業 0.00181(54/228)	成長力道 0.001519(47/130)	高階主管 0.001487(47/86)	
罹難者 0.013133(505/784)	推薦新聞 0.008458(317/552)	注中獎 0.006225(237/237)	分離主義 0.004649(177/179)	歐洲聯盟 0.003572(137/152)	馬來西亞航空 0.003494(133/146)	飛彈擊落 0.002995(115/198)	馬航班機 0.002574(98/98)	總統蒲亭 0.002233(85/85)	烏克蘭危機 0.00218(85/105)	
集團董事長 0.008058(268/472)	董事長郭台銘 0.007755(256/256)	鴻海集團 0.007513(248/344)	報告指出 0.006028(200/344)	鴻海董事長 0.005695(188/188)	郭台銘表示 0.002969(98/98)	美國海軍 0.002787(96/122)	送禮 0.002696(90/190)	陸客來 0.002605(85/216)	線上報名 0.002575(84/100)	
伊波拉病毒 0.008897(292/292)	教宗方濟 0.004892(156/190)	都市計畫 0.00428(131/444)	專案小組 0.004127(134/266)	區段徵收 0.003913(129/170)	桃園航空城 0.003455(109/208)	航空城計畫 0.003088(103/114)	週日台北 0.002599(78/370)	人死亡 0.00211(69/280)	天主教教宗 0.001865(60/78)	
影像較少 0.007552(225/498)	交通部觀光局 0.004348(128/300)	達志2014年 0.003891(115/258)	台灣觀光 0.003793(115/266)	當地民眾 0.003466(110/174)	經濟部長張家祝 0.002943(85/318)	抽獎活動 0.001831(57/122)	低利率 0.001798(54/114)	雙北市 0.001766(53/148)	七夕情人節 0.001668(54/184)	
標準時間 0.068279(3482/3482)	台北標準 0.06824(3480/3480)	時間上午 0.034943(1782/1782)	時間下午 0.034473(1758/1758)	2014年6月 0.017511(897/920)	中央社2014年 0.016746(853/854)	達志影像 0.016138(824/828)	週四台北 0.013981(709/804)	新鮮事 0.01206(627/1324)	天下新鮮 0.011981(615/1308)	
新聞相關 0.062626(2295/2914)	相關影音 0.059982(2201/2756)	縣長吳志揚 0.009134(335/374)	復興航空 0.009134(338/668)	國民黨立委 0.008316(303/486)	副縣長 0.00668(237/562)	桃園縣長 0.006326(236/240)	桃園機場 0.004853(182/370)	縣長參選人 0.004226(151/253)	縣長葉世文 0.004117(149/306)	
翠玉白菜 0.010415(346/346)	故宮博物院 0.009512(316/316)	國立故宮 0.008579(285/285)	國立博物館 0.005629(187/187)	日本政府 0.005388(180/384)	神品至寶展 0.004485(149/149)	赴日 0.004064(136/218)	上午9時 0.00298(96/246)	同業公會 0.002619(89/274)	環境保護 0.002408(75/274)	
公司表示 0.002213(75/290)	美國市場 0.00177(53/133)	銀髮俱樂部 0.00177(56/56)	支付寶 0.001707(53/65)	相關產業 0.001675(50/174)	跨部會 0.001612(51/132)	市民活動中心 0.001549(49/51)	人口販運 0.001454(46/46)	人生大事 0.001422(45/47)	勃起功能 0.001391(44/58)	
主管機關 0.02137(726/1112)	基本工資 0.012011(400/700)	大飯店 0.006706(232/448)	修正草案 0.004173(144/286)	基層員工 0.002683(90/95)	員工加薪 0.002653(90/130)	財政健全 0.002474(85/126)	發展條例 0.002265(72/89)	國營事業 0.002176(72/210)	中小企業發展 0.002176(73/81)	
103年7月 0.016095(471/586)	做公益 0.004849(147/262)	世界盃足球賽 0.003031(91/220)	行動代號 0.002155(64/89)	攻擊直升機 0.002122(61/95)	藍色大門 0.001953(58/58)	大陸旅客 0.00192(58/98)	創世基金會 0.001617(46/65)	7月25日 0.001583(48/114)	雲林縣政府 0.001515(44/96)	
中央氣象局 0.011979(604/604)	短暫陣雨 0.011344(572/572)	總統馬英九 0.009837(499/1040)	媒體報導 0.008667(452/830)	提醒民眾 0.007913(400/426)	氣象局表示 0.007834(395/395)	午後雷陣雨 0.006604(333/335)	太平洋高壓 0.006109(308/308)	瞬間大雨 0.005335(269/269)	外圍環流 0.005335(269/269)	
高雄氣爆 0.037335(2273/2368)	氣爆事件 0.02095(1275/1320)	郝龍斌 0.02011(1213/1432)	參選人連勝文 0.011538(702/728)	高雄市政府 0.010467(617/1468)	國民黨台北市長 0.009033(544/564)	2014年8月 0.008225(501/796)	台北市長參選人 0.007236(435/1282)	氣爆意外 0.006593(400/402)	台北市長郝 0.005967(362/440)	
人才招募 0.004847(161/197)	海軍陸戰隊 0.004488(152/172)	成長動能 0.004309(149/402)	財富管理 0.003292(117/218)	公民團體 0.003232(105/274)	立法院臨時會 0.003052(104/301)	全民國防 0.003052(103/111)	作戰區 0.002933(96/126)	學員們 0.002633(91/114)	推薦新聞 0.002603(97/552)	
報導說 0.002757(89/262)	醫護人員 0.00233(72/156)	金融債 0.002298(70/122)	參加活動 0.002265(68/96)	資本市場 0.001904(56/343)	空軍基地 0.001608(47/100)	順育樂 0.001477(45/45)	瓶用聚酯 0.001477(48/48)	彈道飛彈 0.001444(47/153)	天然災害 0.001444(42/58)	
