時間上午 0.014147(438/1782)	翠玉白菜 0.011111(341/346)	故宮博物院 0.010206(316/316)	國立故宮 0.009205(285/285)	上午6時 0.006331(206/624)	國立博物館 0.00604(187/187)	神品至寶展 0.004813(149/149)	發表聲明 0.004748(145/404)	赴日 0.004328(133/218)	電子報2014年 0.003779(113/226)	
前立委顏清標 0.002556(82/90)	中共中央 0.001932(59/272)	救援小組 0.00187(60/60)	開除黨籍 0.001683(53/109)	今年暑假 0.001652(56/116)	代理縣長 0.001652(53/85)	緊急救援 0.001621(52/72)	動物緊急 0.001558(50/50)	小狗 0.001496(49/75)	美國國務院 0.001496(51/132)	
基隆市長 0.018074(789/789)	議長黃景泰 0.008796(383/384)	市長選舉 0.006185(274/299)	國民黨提名 0.005338(236/266)	參選基隆 0.005154(225/225)	基隆市議長 0.005017(219/219)	黨中央 0.003459(153/490)	基隆市議會 0.003368(147/147)	市長參選人 0.003299(141/712)	市議會議長 0.002978(130/132)	
再生能源 0.005363(168/444)	發言人陳以信 0.0052(156/285)	台灣經濟 0.004775(147/728)	模範父親 0.003467(108/121)	國民黨文傳 0.002878(84/141)	記者會表示 0.002715(84/210)	兼發言人 0.002682(75/138)	副主委兼 0.00242(73/119)	兩岸服貿 0.002191(67/293)	老農津貼 0.002028(61/164)	
國寶人壽 0.008869(295/295)	幸福人壽 0.005622(187/187)	人受傷 0.005231(178/330)	投資金額 0.003007(102/252)	人死亡 0.002946(95/280)	做事 0.002916(92/280)	台資企業 0.002586(85/156)	線上遊戲 0.002285(74/134)	手機遊戲 0.002225(74/122)	弱勢族群 0.001924(64/240)	
石化專區 0.01349(522/522)	石化管線 0.01274(489/528)	作業系統 0.003411(128/167)	石化產業 0.00336(135/321)	地方政府 0.003179(122/1190)	經濟部長杜紫軍 0.003101(124/134)	石化工業區 0.00261(101/106)	石化業者 0.002481(96/100)	管線安全 0.002429(94/94)	高雄石化 0.002352(87/152)	
變形金剛 0.004147(127/182)	7月19日 0.001802(48/108)	自治條例 0.001768(51/238)	郭台銘表示 0.001768(50/98)	公共工程 0.001734(52/146)	董事長郭台銘 0.001564(38/256)	濱海樂園 0.001292(38/38)	市府表示 0.001224(36/70)	大安濱海 0.001224(36/36)	藝術中心 0.00119(39/74)	
復興航空 0.011498(474/668)	罹難者 0.003385(142/784)	馬來西亞航空 0.003193(130/146)	航空公司 0.003145(135/808)	飛彈擊落 0.002809(118/198)	研究中心 0.002641(117/306)	觀光工廠 0.002569(108/174)	馬航班機 0.002353(98/98)	新聞專輯 0.002161(92/388)	金融海嘯 0.002137(90/272)	
推薦新聞 0.009478(321/552)	大法人 0.005663(196/361)	環保局表示 0.003964(138/154)	資源回收 0.003428(111/238)	開罰 0.002504(88/208)	公司表示 0.002355(84/290)	污染防治 0.002325(78/94)	政府環保局 0.002265(75/112)	水污染 0.002206(76/90)	股王大立光 0.002176(72/131)	
經濟成長 0.014931(813/864)	新興市場 0.009923(541/942)	高收益 0.008962(485/485)	經濟成長率 0.007022(379/416)	收益債 0.00608(329/329)	大陸經濟 0.006061(321/492)	全球經濟 0.00486(263/366)	季經濟 0.003049(166/183)	債券基金 0.002717(147/147)	投資組合 0.00268(144/156)	
新北市 0.003375(116/2388)	獨居老人 0.002162(75/114)	打房 0.002102(73/124)	吸金 0.002073(67/170)	國際大 0.001954(66/82)	弱勢族群 0.001925(61/240)	指標建案 0.001895(62/66)	空軍基地 0.001866(66/100)	永慶房產 0.001836(61/65)	志工們 0.001806(62/93)	
副總統吳敦義 0.007522(227/356)	合一選舉 0.003075(91/172)	國民黨主席 0.00278(84/218)	創意料理 0.002126(66/88)	公共運輸 0.002093(66/190)	8月4日 0.002061(67/140)	中山會報 0.00193(59/103)	營養午餐 0.001832(55/158)	運動公園 0.001799(56/92)	今天宣布 0.001668(51/202)	
市場需求 0.005571(186/440)	今年3月 0.003281(106/370)	修正草案 0.003219(105/286)	營收可望 0.002476(79/209)	經營團隊 0.002229(75/160)	業績成長 0.002167(71/230)	營收比重 0.002105(71/168)	營業利益 0.002074(67/152)	員工加薪 0.00195(66/130)	願景 0.001919(55/326)	
嚴部長 0.004296(142/148)	石化產業 0.0039(127/321)	農曆七月 0.002407(82/127)	精品業者 0.002011(66/66)	訂票 0.001798(60/104)	早鳥優惠 0.001768(59/71)	預期未來 0.001554(51/80)	來台灣 0.001524(47/286)	調查發現 0.001524(53/210)	喝酒 0.001402(42/156)	
人工生殖 0.006489(202/203)	不少人 0.003389(110/226)	成為台灣 0.003069(97/226)	產業發展 0.003069(94/754)	穿戴裝置 0.00259(74/234)	不孕夫妻 0.002526(79/83)	環境教育 0.002462(76/160)	監察委員 0.00243(77/506)	臉書 0.002206(76/1060)	台南市政府 0.002206(66/206)	
台北股市 0.008971(296/355)	股市今天 0.006873(223/247)	成交金額 0.003649(124/456)	股價指數 0.00298(106/234)	金額新台幣 0.00295(96/191)	工業指數 0.00295(95/125)	台股今天 0.002828(95/146)	電力公司 0.002676(86/152)	指數成為 0.002555(84/84)	租金補貼 0.002463(87/222)	
國道收費員 0.004846(164/164)	交通部長葉匡時 0.004581(157/184)	遠通電收 0.003399(109/128)	收費員自救會 0.002719(91/92)	遠通公司 0.00266(90/90)	今天上午 0.002571(93/430)	6月30日 0.002512(85/252)	找工作 0.002423(87/128)	大飯店 0.002394(82/448)	台灣觀光 0.002128(72/266)	
活動期間 0.004998(187/322)	購票 0.003423(127/238)	來回機票 0.003314(123/125)	購物中心 0.002825(104/358)	原物料 0.002635(105/190)	消費滿 0.002499(91/248)	即日起到 0.002119(77/114)	熱銷 0.002065(74/108)	當地時間 0.002037(79/250)	慈善基金會 0.00182(72/255)	
營收為 0.003811(124/321)	上海福喜 0.002677(85/85)	財政健全 0.002425(81/126)	教宗方濟 0.00211(68/190)	健全方案 0.002079(67/92)	身心障礙 0.00189(61/520)	世界遺產 0.001827(58/90)	集會遊行 0.001764(57/103)	明年度 0.001732(58/94)	銷售金額 0.001606(52/89)	
再生能源 0.004693(149/444)	悠遊卡公司 0.002961(92/136)	國防部長嚴明 0.002835(90/141)	中央公園 0.001827(60/200)	電信公司 0.001701(57/158)	市政會議 0.001638(53/170)	筆電 0.001543(50/160)	外匯市場 0.001449(48/97)	參選連任 0.001386(45/115)	減碳 0.00126(40/64)	
馬總統 0.051485(1700/2302)	相關單位 0.01385(455/708)	當地居民 0.006443(207/356)	人事同意權 0.004516(148/405)	外貿協會 0.004366(144/230)	總統說 0.003884(140/350)	達人 0.003101(95/414)	公民基金會 0.003071(99/176)	總統馬英九 0.003011(100/1040)	地球公民 0.003011(105/176)	
歷史新高 0.016715(563/928)	台中市長 0.009376(331/622)	創新高 0.008687(296/652)	大台中 0.006021(212/218)	市長胡志強 0.004989(173/654)	競選總部 0.004903(176/358)	7月營收 0.004817(158/251)	參選人林佳龍 0.004215(147/147)	預計明年 0.002896(101/214)	胡市長 0.002867(101/161)	
彭博報導 0.011319(369/394)	數據顯示 0.006507(211/302)	今天公布 0.003965(131/262)	新低 0.003087(111/200)	中國人民 0.002754(88/334)	中國經濟 0.002754(92/197)	大陸房市 0.0023(76/104)	傳統旺季 0.00224(75/185)	國內經濟 0.00221(74/112)	中央社徐睿承 0.002058(69/78)	
行政院長江宜樺 0.004244(131/196)	大學教授 0.003231(102/184)	國際社會 0.003168(101/252)	台北市議員 0.002439(78/208)	資料照片 0.002217(76/164)	結果出爐 0.002154(66/118)	今年2月 0.002059(64/266)	自由貿易 0.002059(64/474)	國泰世華 0.002027(62/193)	高雄發生 0.001964(64/278)	
今天表示 0.02038(677/1074)	航空公司 0.019414(614/808)	太陽花 0.00483(155/416)	長榮航空 0.004768(154/186)	花學運 0.004488(138/382)	前總統李登輝 0.001745(58/83)	社會各界 0.001652(50/190)	合一課稅 0.001652(51/131)	廉價航空 0.00159(47/116)	星空聯盟 0.001558(50/50)	
監督條例 0.011811(442/689)	兩岸協議 0.010579(390/581)	協議監督 0.008972(328/503)	推播通知 0.008892(332/332)	重大新聞 0.008892(332/332)	通知快 0.008838(330/330)	快下載 0.008758(327/330)	服貿協議 0.008168(306/822)	貿易協議 0.004285(158/339)	召開臨時會 0.003562(133/187)	
總統馬英九 0.019231(611/1040)	高雄市府 0.0042(131/212)	中國國台辦 0.002905(92/170)	保險公司 0.002653(83/406)	飯店業者 0.002179(72/130)	南下高雄 0.002053(71/100)	環境保護 0.00199(62/274)	相關訊息 0.001927(56/178)	花蓮縣長 0.001642(51/134)	事件發生 0.001611(49/300)	
行動裝置 0.006259(199/422)	業者說 0.00384(122/154)	集團旗下 0.003582(110/382)	宏達電 0.003549(109/211)	僑教中心 0.003291(104/111)	參賽者 0.002581(80/132)	就業市場 0.002323(73/150)	統一超 0.002259(68/95)	行動通訊 0.002162(66/148)	移轉訂價 0.002065(64/64)	
智慧型手機 0.025699(877/1126)	平板電腦 0.012835(441/636)	台塑集團 0.008303(284/292)	合作夥伴 0.004503(163/298)	穿戴式裝置 0.003947(133/198)	河靜鋼鐵 0.003743(128/128)	手機晶片 0.003421(120/178)	7月1日 0.002982(109/602)	手機品牌 0.002982(101/112)	應用程式 0.002895(97/186)	
電信業者 0.006817(242/284)	成交金額 0.005531(198/456)	台灣大哥大 0.005308(192/198)	中華電信 0.005196(170/1046)	台灣大 0.005057(181/214)	弱勢家庭 0.00461(164/316)	遠傳電信 0.004191(151/182)	彰化縣長 0.004163(142/174)	上市公司 0.004107(145/260)	審議委員會 0.003436(120/290)	
民調顯示 0.003301(96/194)	攻擊直升機 0.002609(84/95)	受訪者 0.002546(78/294)	路跑活動 0.002484(80/148)	新民調 0.002295(73/117)	醫護人員 0.002232(69/156)	民意調查 0.002106(66/108)	巴西世界盃 0.002043(65/100)	7月14日 0.001603(50/140)	太平洋百貨 0.001572(50/50)	
自由經濟 0.017213(562/770)	經濟示範區 0.015841(511/708)	特別條例 0.006861(220/392)	示範區特別 0.005457(175/296)	中共中央 0.004023(131/272)	台灣產業 0.003337(111/228)	媒體詢問 0.003056(100/280)	解決問題 0.003025(89/356)	台灣前途 0.0029(98/264)	自由時報2014年 0.002526(84/316)	
永續發展 0.004867(170/262)	教宗方濟 0.003542(122/190)	產業園區 0.003254(112/180)	歡迎民眾 0.002621(87/204)	雲端運算 0.002563(87/194)	中華電信 0.002362(85/1046)	供民眾 0.002074(72/188)	彰南產業 0.001843(64/76)	開放民眾 0.001757(66/178)	中國領空 0.001642(55/90)	
國民黨團 0.011582(547/555)	馬總統 0.009426(462/2302)	監察委員 0.009088(429/506)	條例草案 0.006658(309/348)	人事同意權 0.005368(257/405)	監督條例 0.005242(247/689)	立法院黨團 0.005115(242/242)	監察院人事 0.004798(227/227)	同意權投票 0.004438(210/210)	立法院長王金平 0.004333(186/308)	
103年7月 0.015512(468/586)	2014年7月 0.01108(333/760)	台灣國際 0.00319(98/200)	旺旺集團 0.002753(82/82)	勞動力發展 0.001981(58/152)	旗艦計畫 0.001646(49/64)	7月27日 0.001511(44/82)	中國國家 0.001511(43/206)	貧富差距 0.001276(40/128)	勞動條件 0.001243(35/92)	
中國大陸 0.007143(402/4584)	區域經濟 0.006654(351/394)	媒體報導 0.006447(359/830)	國家主席 0.005019(270/624)	經濟整合 0.004944(268/303)	自由貿易 0.004869(262/474)	夥伴協定 0.004831(257/257)	大陸國家 0.003741(205/634)	經濟合作 0.003703(198/480)	總統朴槿惠 0.003365(179/228)	
強陣風 0.004991(157/311)	產業發展 0.004319(127/754)	新竹米粉 0.003488(109/109)	雲端運算 0.00272(87/194)	解決方案 0.002688(82/466)	受歡迎 0.00256(85/242)	上市櫃公司 0.00224(72/152)	農曆7月 0.001888(62/136)	大豪雨 0.001888(61/143)	8月23日 0.001856(57/72)	
大股東 0.00843(274/356)	人士說 0.003775(121/238)	報導指出 0.00324(107/498)	金融服務 0.003051(101/172)	商業銀行 0.002548(86/157)	人力銀行 0.001982(57/324)	星展銀行 0.001856(61/71)	今年5月 0.001793(56/354)	報告指出 0.001699(51/344)	福利基金會 0.001699(51/120)	
新台幣兌 0.004896(209/259)	加權指數 0.003842(168/219)	字頭 0.003022(128/188)	現金股利 0.002999(124/282)	高速公路 0.002975(126/264)	小跌 0.002882(126/180)	國際股市 0.002296(99/101)	大法人 0.002273(98/361)	專家表示 0.002085(88/118)	成交金額 0.002062(85/456)	
中央氣象局 0.01149(604/604)	短暫陣雨 0.010881(572/572)	氣象局表示 0.007514(395/395)	提醒民眾 0.007096(384/426)	午後雷陣雨 0.006335(333/335)	太平洋高壓 0.005859(308/308)	瞬間大雨 0.005117(269/269)	外圍環流 0.005117(267/269)	熱帶性低氣壓 0.005079(267/267)	補充水分 0.004965(261/310)	
台北市長參選人 0.016159(844/1282)	參選人連勝文 0.013988(728/728)	國民黨台北市長 0.010837(564/564)	參選人柯文哲 0.007033(366/540)	柯文哲說 0.006168(322/334)	在野整合 0.005649(294/294)	醫師柯文哲 0.005073(264/264)	台大醫師 0.004516(236/236)	宣布參選 0.004419(234/273)	參選台北市長 0.003785(196/197)	
智慧手機 0.004744(148/348)	指數下跌 0.003739(123/209)	指數上漲 0.003644(121/293)	道瓊工業 0.003487(114/173)	創新高 0.003267(110/652)	英國倫敦 0.003016(92/158)	目前台灣 0.002922(91/224)	指數收低 0.002859(91/91)	指數收高 0.002796(89/89)	半導體指數 0.002513(77/105)	
主管機關 0.021644(809/1112)	基本工資 0.018659(695/700)	物價指數 0.006641(249/292)	消費者物價 0.005646(209/226)	工資審議 0.005055(188/188)	審議委員會 0.002635(95/290)	江院長 0.002528(93/166)	主計總處 0.00242(92/372)	特任副主委 0.002178(81/81)	造成重大 0.002044(79/156)	
氣候變遷 0.007209(234/360)	8月7日 0.005078(158/280)	生物多樣性 0.003072(100/248)	政務次長 0.00279(89/148)	海運快遞 0.002257(72/72)	公共安全 0.0021(66/120)	亞太電信 0.001661(53/223)	防空飛彈 0.001661(53/115)	空氣品質 0.001505(44/186)	專家學者 0.001505(56/186)	
國家公園 0.004506(160/484)	求職者 0.003803(125/264)	駐美 0.003218(110/122)	國泰世華 0.003014(102/193)	美代表 0.002809(96/104)	公共自行車 0.002633(88/100)	歐洲聯盟 0.002399(84/152)	汽車公司 0.00237(78/102)	工作人員 0.002136(73/512)	環境教育 0.00199(67/160)	
上午11時 0.00437(137/404)	金酒公司 0.003553(113/116)	中心主任 0.003018(95/414)	女學生 0.002735(85/128)	金酒廈門 0.002672(85/85)	廈門公司 0.002609(83/83)	資產配置 0.002515(78/152)	競選經費 0.001981(62/112)	采瑞公司 0.001981(63/63)	履約保證金 0.001918(61/63)	
新聞相關 0.063717(2233/2914)	相關影音 0.062083(2183/2756)	縣長吳志揚 0.009115(318/374)	國民黨立委 0.00837(293/486)	桃園縣長 0.006449(224/240)	副縣長 0.005933(207/562)	桃園機場 0.005503(197/370)	受訪表示 0.004214(161/302)	資本市場 0.004099(136/343)	縣長葉世文 0.003898(135/306)	
中華電信 0.022959(734/1046)	金融機構 0.005382(167/352)	集團旗下 0.004618(150/382)	公司董事長 0.004235(135/320)	科技公司 0.003694(123/262)	元大寶來 0.003408(103/260)	外籍勞工 0.003025(95/200)	公司總經理 0.002293(64/228)	電信公司 0.001752(51/158)	智慧手機 0.00172(58/348)	
媒體報導 0.008412(258/830)	值得注意 0.005073(152/376)	國會議員 0.003371(99/236)	今年7月 0.00305(98/302)	元大寶來 0.002248(79/260)	人士指出 0.002216(73/370)	金融商品 0.002216(69/110)	亞太地區 0.002055(59/222)	高收益債 0.002023(63/144)	新興國家 0.001959(57/138)	
