翠玉白菜 0.011491(346/346)	故宮博物院 0.010428(315/316)	國立故宮 0.009465(285/285)	國立博物館 0.006211(187/187)	神品至寶展 0.004949(149/149)	赴日 0.004417(135/218)	8月7日 0.003853(123/280)	電子報2014年 0.002558(83/226)	6月24日 0.002524(75/170)	博物院神品 0.002358(71/71)	
主席習 0.005087(136/484)	陸委會主委 0.004047(115/396)	主委王郁琦 0.003787(112/390)	競選連任 0.003676(100/182)	投入救援 0.002785(76/90)	作戰區 0.002748(74/126)	人說 0.002154(57/270)	推薦新聞 0.002079(68/552)	柯文哲表示 0.001968(52/166)	媒體追問 0.001931(53/158)	
總統大選 0.004427(124/460)	雲端服務 0.003251(90/176)	季獲利 0.002974(84/202)	研究中心 0.002525(69/306)	水上樂園 0.002214(67/93)	選舉委員會 0.002075(60/140)	印尼總統 0.001868(54/73)	總統候選人 0.001729(54/112)	7月9日 0.00166(48/132)	四中全會 0.001626(46/49)	
生物多樣性 0.005608(157/248)	受訪者 0.005001(143/294)	都市更新 0.004572(127/342)	民調顯示 0.003715(106/194)	民意調查 0.003215(90/108)	民調結果 0.003215(97/326)	氣候變遷 0.003179(91/360)	新民調 0.003143(84/117)	抽樣誤差 0.002286(63/68)	誤差為 0.002215(62/71)	
身心障礙 0.012304(373/520)	障礙者 0.008699(266/314)	8月1日 0.007045(214/438)	高速公路 0.006913(204/264)	科技大學 0.004002(128/370)	身障者 0.003804(114/148)	飛彈擊落 0.003506(104/198)	中共海軍 0.002812(85/100)	徵才活動 0.002745(71/124)	就業博覽會 0.002448(75/101)	
求職者 0.006548(185/264)	中央社翻譯 0.006092(173/318)	官員表示 0.003712(106/444)	調查發現 0.003642(99/210)	人力銀行 0.002906(82/324)	網路投保 0.002731(78/78)	工作人員 0.002066(63/512)	新興亞洲 0.002066(57/110)	今年5月 0.001821(52/354)	財務狀況 0.001716(52/114)	
合宜住宅 0.026232(936/944)	新北市 0.010443(380/2388)	八德合宜 0.007531(269/269)	副縣長 0.006887(245/562)	社會住宅 0.006607(232/792)	涉貪 0.006383(238/343)	遠雄集團 0.005683(203/203)	大飯店 0.005151(187/448)	地方政府 0.005011(181/1190)	董事長趙藤雄 0.004704(168/168)	
臉書 0.02612(726/1060)	中心主任 0.003559(100/414)	大飯店 0.002883(85/448)	台灣觀光 0.002598(68/266)	關係企業 0.002598(70/110)	影響台灣 0.002527(75/252)	公司治理 0.002456(65/131)	滯留鋒面 0.002278(63/177)	遠通電收 0.002171(60/128)	鋒面影響 0.002135(61/147)	
桃園縣政府 0.007869(217/354)	無人 0.004061(106/540)	金融海嘯 0.003306(94/272)	大陸政府 0.003234(82/234)	今天下午 0.003198(93/406)	週六台北 0.00309(84/248)	護樹團體 0.002551(73/82)	合宜住宅案 0.002551(72/193)	庇護工場 0.00248(69/96)	不少人 0.002264(54/226)	
產業發展 0.014501(414/754)	電子商務 0.010378(303/722)	就業機會 0.004536(123/432)	器官捐贈 0.004502(131/131)	積極推動 0.003574(100/410)	新興產業 0.003024(90/138)	工商協進會 0.002715(78/94)	軟體園區 0.002543(76/82)	到台北 0.002406(65/114)	吳副總統 0.002371(68/82)	
8月27日 0.003097(83/146)	台灣產業 0.002052(58/228)	家扶中心 0.001903(53/353)	幫助弱勢 0.001679(45/83)	台北國稅局 0.001604(43/45)	績效獎金 0.001604(44/65)	中心主任 0.001567(44/414)	國家經濟 0.001493(42/130)	國際經濟 0.001418(36/75)	愛心捐款 0.001269(29/82)	
