重大新聞 0.005815(332/332)	推播通知 0.005797(331/332)	通知快 0.00578(330/330)	快下載 0.00578(330/330)	協會理事長 0.002715(151/388)	做公益 0.002487(140/262)	十二年國教 0.002277(131/352)	報導指出 0.002084(116/498)	僑教中心 0.001944(111/111)	苗栗縣政府 0.001857(105/126)	
高雄市長 0.006718(385/772)	支持者 0.005569(313/526)	主席蔡英文 0.005286(302/566)	台獨黨綱 0.004862(272/491)	市長賴清德 0.004597(258/388)	總統大選 0.004455(257/460)	民進黨主席 0.003907(233/598)	政治人物 0.003713(210/498)	台南市長 0.003625(209/298)	服貿協議 0.003465(196/822)	
中央氣象局 0.008312(604/604)	短暫陣雨 0.007872(572/572)	提醒民眾 0.00556(404/426)	氣象局表示 0.005436(395/395)	午後雷陣雨 0.004596(335/335)	補充水分 0.004266(310/310)	太平洋高壓 0.004239(308/308)	外圍環流 0.003702(269/269)	瞬間大雨 0.003674(268/269)	熱帶性低氣壓 0.003674(267/267)	
新藥 0.005916(454/454)	大陸市場 0.003518(264/674)	今天說 0.002971(229/628)	成長動能 0.002372(178/402)	小跌 0.00215(162/180)	大法人 0.002111(156/361)	預估值 0.002059(152/183)	優於預期 0.001968(156/237)	股價表現 0.001889(141/172)	小漲 0.001889(145/153)	
來台 0.023906(1481/2678)	勞動部 0.003755(237/460)	人力銀行 0.00369(231/324)	工作機會 0.002816(176/320)	投資者 0.002687(169/362)	洽詢電話 0.002153(138/302)	桃園縣政府 0.002104(137/354)	調查顯示 0.001894(113/290)	國民黨中常會 0.001716(109/204)	社會新鮮人 0.001716(108/144)	
台北市長參選人 0.01633(1282/1282)	參選人連勝文 0.009273(728/728)	國民黨台北市長 0.007184(564/564)	市長參選人 0.006267(484/712)	參選人柯文哲 0.004726(369/540)	柯文哲說 0.004255(334/334)	競選總部 0.00386(313/358)	在野整合 0.003745(294/294)	醫師柯文哲 0.003363(264/264)	民調結果 0.003185(242/326)	
基隆市長 0.010981(789/789)	國民黨提名 0.003382(244/266)	議長黃景泰 0.003354(237/384)	參選基隆 0.003131(225/225)	新北市政府 0.0027(191/470)	幸福人壽 0.002603(187/187)	市長選舉 0.002185(150/299)	黨中央 0.002116(154/490)	彰化縣長 0.002018(145/174)	基隆市議會 0.002004(145/147)	
中華電信 0.007388(432/1046)	副總統吳敦義 0.003849(218/356)	馬政府 0.003797(223/612)	主計總處 0.003228(184/372)	金融機構 0.003055(178/352)	公司董事長 0.002848(157/320)	集團旗下 0.00252(145/382)	綠建築 0.002348(135/196)	為例 0.002261(130/836)	股份有限公司 0.002209(126/288)	
標準時間 0.045694(3482/3482)	台北標準 0.045668(3479/3480)	時間上午 0.023385(1782/1782)	時間下午 0.02307(1758/1758)	新鮮事 0.017375(1324/1324)	天下新鮮 0.017165(1308/1308)	2014年6月 0.011246(859/920)	中央社2014年 0.011207(854/854)	達志影像 0.010866(823/828)	週四台北 0.010512(797/804)	
沒人 0.001618(87/364)	中共海軍 0.001618(93/100)	美國海軍 0.001601(90/122)	8月1日 0.001549(97/438)	媒體報導 0.001429(91/830)	攻擊直升機 0.001429(85/95)	七夕情人節 0.001274(82/184)	大陸海軍 0.001257(73/76)	自治條例 0.001188(70/238)	業者表示 0.001085(68/346)	
