標準時間 0.052039(3482/3482)	台北標準 0.051995(3480/3480)	時間上午 0.026633(1782/1782)	時間下午 0.026259(1752/1758)	新鮮事 0.019788(1324/1324)	天下新鮮 0.019549(1308/1308)	2014年6月 0.012584(852/920)	達志影像 0.012315(822/828)	中央社2014年 0.012046(799/854)	週四台北 0.011702(776/804)	
復興航空 0.009237(461/668)	台北國際 0.003086(149/332)	罹難者 0.002413(120/784)	者家屬 0.001859(98/258)	感染者 0.001741(88/150)	自治條例 0.001721(91/238)	弱勢家庭 0.001701(87/316)	澎湖空難 0.001662(83/226)	受歡迎 0.001602(78/242)	復興空難 0.001503(75/81)	
高速公路 0.004049(199/264)	大法人 0.003825(185/361)	呼籲民眾 0.002503(122/250)	月餅禮盒 0.00232(113/162)	蛋黃酥 0.001892(90/117)	上午11時 0.001648(83/404)	8月2日 0.001465(67/244)	7月1日 0.001404(81/602)	股王大立光 0.001404(68/131)	8月9日 0.001302(61/94)	
今天下午 0.003312(159/406)	彈道飛彈 0.002633(132/153)	美國國防部 0.002592(124/166)	經濟對話 0.002345(109/149)	金酒公司 0.002304(112/116)	台灣省政府 0.001851(90/102)	巡弋飛彈 0.00181(87/103)	金酒廈門 0.001749(85/85)	廈門公司 0.001707(83/83)	桶裝瓦斯 0.001687(81/84)	
消費者物價 0.003373(152/226)	物價指數 0.003284(150/292)	預估值 0.002837(124/183)	變形金剛 0.002748(119/182)	高市府 0.00248(110/336)	調查報告 0.002234(96/242)	外籍勞工 0.001787(81/200)	做公益 0.001653(72/262)	主計總處 0.001564(70/372)	新舞臺 0.001452(65/68)	
高雄氣爆 0.029893(2333/2368)	氣爆事件 0.016511(1290/1320)	高雄市政府 0.008845(693/1468)	2014年8月 0.004525(358/796)	石化氣爆 0.003974(310/310)	發生氣爆 0.003782(293/302)	高雄發生 0.003564(278/278)	氣爆傷亡 0.003512(274/274)	專輯轟街 0.003307(258/258)	傷亡慘 0.003307(258/258)	
石化產業 0.002747(127/321)	國民黨中常會 0.002265(111/204)	原物料 0.002202(104/190)	開發單位 0.00195(96/122)	汽車公司 0.001846(87/102)	台北車站 0.001804(84/132)	共同管道 0.001783(86/125)	通過環評 0.001762(83/94)	競選團隊 0.00172(77/193)	水資源 0.001699(84/190)	
總統馬英九 0.010961(574/1040)	基本工資 0.005596(296/700)	競選總部 0.004651(247/358)	大台中 0.003975(206/218)	身心障礙 0.003879(196/520)	工資審議 0.003628(188/188)	台中市長 0.002702(147/622)	參選人林佳龍 0.002663(139/147)	市長參選人 0.002509(135/712)	市長胡志強 0.002297(109/654)	
航空公司 0.013307(610/808)	空氣品質 0.003925(181/186)	長榮航空 0.003322(156/186)	台灣市場 0.00248(117/286)	通訊軟體 0.002286(109/188)	國家公園 0.002243(104/484)	清算行 0.001682(78/78)	聖戰士 0.001553(70/111)	今年3月 0.001531(67/370)	歡迎民眾 0.001445(66/204)	
經濟成長 0.013163(596/864)	新藥 0.007684(356/454)	年增 0.007182(324/694)	大陸市場 0.006505(306/674)	為例 0.006265(288/836)	新車 0.006047(268/358)	經濟成長率 0.00585(265/416)	市長參選人 0.00537(243/712)	大陸經濟 0.004584(213/492)	民調結果 0.003667(167/326)	
