重大新聞 0.009351(331/332)	通知快 0.009323(330/330)	快下載 0.009323(330/330)	推播通知 0.009267(331/332)	台北捷運 0.00582(205/288)	捷運公司 0.005029(177/218)	做事 0.003729(130/280)	電子票證 0.00356(122/164)	報導指出 0.002938(111/498)	綠建築 0.00226(81/196)	
103年7月 0.012837(470/586)	家扶中心 0.009985(346/353)	市府團隊 0.002596(88/170)	江院長 0.002311(82/166)	蓬勃發展 0.001797(59/174)	登革熱疫情 0.001683(58/71)	入夏 0.001598(55/63)	積水容器 0.001569(55/59)	助理教授 0.001427(50/112)	相關新聞 0.001427(51/116)	
消息人士 0.006151(268/378)	飛彈擊落 0.004721(198/198)	研究中心 0.003219(136/306)	馬來西亞航空 0.003171(133/146)	俄羅斯總統 0.002527(105/114)	烏克蘭危機 0.002337(95/105)	馬航班機 0.002337(97/98)	總統蒲亭 0.002027(85/85)	分離主義 0.001836(74/179)	烏克蘭政府 0.001764(74/74)	
主委王郁琦 0.005411(176/390)	陸委會主委 0.005323(183/396)	營收為 0.003999(141/321)	無人 0.003705(122/540)	主席習 0.00347(121/484)	美國國務卿 0.002853(98/250)	國務卿凱瑞 0.00247(84/226)	奈米製程 0.002441(79/178)	固態硬碟 0.002264(78/133)	調查報告 0.002029(72/242)	
服貿協議 0.004075(142/822)	金管會主委 0.003989(142/230)	主委曾銘宗 0.00396(139/226)	消防人員 0.002919(96/176)	海外市場 0.002919(108/174)	工作人員 0.002226(77/512)	上市櫃公司 0.002139(74/152)	高雄市民 0.00211(75/180)	租賃公司 0.00211(72/79)	電動巴士 0.002023(71/72)	
2014年7月 0.008757(319/760)	鐵路電氣化 0.008302(310/310)	花東鐵路 0.007874(294/294)	普悠瑪號 0.007659(286/286)	到台東 0.004205(157/192)	普悠瑪列車 0.00308(115/115)	6月30日 0.002598(102/252)	亞太電信 0.002571(95/223)	台北到 0.002357(89/104)	7月16日 0.002143(78/114)	
經濟發展 0.006619(219/1042)	台灣人民 0.00564(197/464)	中央社翻譯 0.005094(185/318)	總統說 0.004576(158/350)	民主法治 0.003799(132/149)	中國人民 0.003338(113/334)	總統表示 0.00331(116/240)	兩岸人民 0.003194(116/194)	交通部觀光局 0.003166(111/300)	台灣觀光 0.00282(96/266)	
今天說 0.009944(346/628)	風景區管理處 0.00221(76/110)	請民眾 0.002181(75/170)	中國國民黨 0.001948(69/416)	達新台幣 0.001948(70/128)	石化產業 0.001948(67/321)	太陽花 0.00189(69/416)	到台灣 0.00189(61/276)	公共建設 0.00189(63/258)	雲嘉南 0.001861(66/88)	
影像較少 0.006377(216/498)	人工生殖 0.0058(200/203)	研究人員 0.003896(133/174)	當地民眾 0.002568(80/174)	不孕夫妻 0.00228(79/83)	應用程式 0.002136(72/186)	衛生福利部 0.001905(69/258)	開發商 0.001789(63/186)	機械手臂 0.001645(56/100)	財團法人 0.001616(62/290)	
主管機關 0.020907(765/1112)	基本工資 0.008586(320/700)	資本市場 0.004007(152/343)	修正草案 0.003898(149/286)	櫃買中心 0.002508(100/209)	基層員工 0.002508(90/95)	員工加薪 0.002426(89/130)	中小企業發展 0.002099(77/81)	財政健全 0.002072(78/126)	發展條例 0.002017(73/89)	
自由經濟 0.013935(603/770)	經濟示範區 0.012596(533/708)	服貿協議 0.00651(278/822)	自由貿易 0.005335(228/474)	貿易協議 0.005264(225/339)	特別條例 0.005241(225/392)	示範區特別 0.004395(190/296)	服務貿易 0.004395(181/313)	文教基金會 0.004324(190/284)	貿易協定 0.003361(138/328)	
馬政府 0.007277(238/612)	電信業者 0.004082(142/284)	為例 0.003846(123/836)	購票 0.002633(86/238)	廈門公司 0.002455(83/83)	華山基金會 0.002426(82/109)	醫護人員 0.002041(71/156)	天氣熱 0.001657(54/108)	一段時間 0.001598(57/334)	作業系統 0.001568(52/167)	
郝龍斌 0.038278(1257/1432)	台北市長郝 0.011313(368/440)	台北市政府 0.005387(183/372)	資源回收 0.004849(157/238)	龍斌說 0.00419(140/140)	中共中央 0.003891(127/272)	台灣民眾 0.003861(122/560)	新高紀錄 0.003861(125/370)	龍斌表示 0.003651(122/122)	5月營收 0.003502(118/311)	
伊波拉病毒 0.008537(292/292)	近年來 0.002924(99/320)	國泰人壽 0.002193(74/159)	吸金 0.002105(70/170)	訂票 0.001871(63/104)	入住 0.001784(60/88)	伊波拉疫情 0.001784(61/61)	麥德姆颱風 0.001754(59/322)	公共自行車 0.001725(64/100)	人死亡 0.001608(57/280)	
