為例 0.007612(313/836)	年增 0.006287(262/694)	都市計畫 0.004794(196/444)	業者表示 0.003927(165/346)	市場預期 0.003325(141/358)	新車 0.003132(131/358)	國家風景區 0.003084(129/140)	區段徵收 0.003084(128/170)	今年5月 0.002626(99/354)	專案小組 0.002554(106/266)	
2014年7月 0.008991(357/760)	高雄市政府 0.008991(334/1468)	國家安全 0.005882(229/422)	經濟發展 0.005052(183/1042)	台灣人民 0.004327(169/464)	民主法治 0.00355(138/149)	總統說 0.003161(124/350)	通訊軟體 0.002747(103/188)	公共建設 0.002721(103/258)	大陸當局 0.002669(103/134)	
新藥 0.011665(451/454)	大陸市場 0.006989(275/674)	社會責任 0.003392(129/338)	購票 0.002595(98/238)	臨床試驗 0.002133(79/122)	市場規模 0.002133(82/170)	生命財產 0.001953(74/154)	台灣生技 0.001876(73/85)	吳副總統 0.001722(69/82)	生技產業 0.001619(59/216)	
官員說 0.003113(120/324)	弱勢族群 0.003033(115/240)	華山基金會 0.002926(109/109)	台電公司 0.002174(75/112)	醫療器材 0.002067(81/212)	下午1時 0.00204(76/110)	台北市立 0.001664(65/114)	國家電影 0.001664(63/87)	電影中心 0.001584(59/59)	執行力 0.001557(56/170)	
下午4時 0.005241(226/536)	高雄市政府 0.00444(187/1468)	新聞專輯 0.003319(141/388)	公車路線 0.003319(146/200)	交通局長 0.002998(129/251)	電信業者 0.002518(115/284)	受害者 0.00206(85/176)	台灣省政府 0.00206(91/102)	彰化縣長 0.001991(86/174)	台大醫院 0.001488(59/150)	
中華電信 0.020679(832/1046)	家扶中心 0.008753(353/353)	解決方案 0.004538(180/466)	主辦單位 0.004463(180/532)	集團旗下 0.00362(156/382)	金融機構 0.003447(144/352)	科技公司 0.003422(135/262)	元大寶來 0.003273(133/260)	公司董事長 0.003174(133/320)	季營運 0.003124(124/237)	
基金經理人 0.01144(805/824)	新興市場 0.007068(505/942)	行政院長江 0.005777(397/728)	長江宜樺 0.005536(375/702)	房地合一 0.005507(374/478)	實價課稅 0.004939(341/390)	法人表示 0.004173(292/447)	民進黨立委 0.003889(276/734)	貨幣政策 0.003804(264/346)	企業獲利 0.003463(243/251)	
伊波拉病毒 0.007062(292/292)	當地居民 0.003702(155/356)	醫護人員 0.00246(99/156)	到台灣 0.002338(96/276)	來台灣 0.002314(98/286)	到高雄 0.002119(87/240)	衛生組織 0.001632(67/104)	金門縣政府 0.001632(67/98)	集團旗下 0.001534(64/382)	醫療團隊 0.001534(64/92)	
主管機關 0.019293(741/1112)	基本工資 0.011029(417/700)	9月1日 0.002238(86/156)	文教基金會 0.002211(87/284)	基層員工 0.002001(75/95)	相關規定 0.001843(60/272)	營利事業 0.001658(57/88)	少女漫畫 0.001527(58/58)	公主遊輪 0.001422(54/54)	補充保費 0.001422(54/59)	
新北市 0.028684(1138/2388)	大法人 0.004613(184/361)	國道收費員 0.004084(162/164)	交通部長葉匡時 0.00368(146/184)	產業發展 0.003201(132/754)	金酒公司 0.002874(112/116)	體驗活動 0.002848(121/232)	解決方案 0.002672(103/466)	遠通電收 0.002647(105/128)	收費員自救會 0.002319(92/92)	
鐵路電氣化 0.007168(310/310)	花東鐵路 0.006798(294/294)	普悠瑪號 0.006613(286/286)	中共中央 0.0037(158/272)	到台東 0.00363(157/192)	普悠瑪列車 0.002659(115/115)	觀光景點 0.001919(83/214)	台北到 0.001896(84/104)	觀光旅遊局 0.001804(79/200)	電氣化通車 0.001781(77/77)	
台北捷運 0.004686(197/288)	捷運公司 0.004016(166/218)	環境保護 0.002869(123/274)	電子票證 0.002701(114/164)	地球公民 0.00196(80/176)	公民基金會 0.001937(80/176)	世足賽 0.001913(79/400)	營養午餐 0.001721(73/158)	高雄捷運 0.001674(71/204)	無障礙 0.001626(66/150)	
亞太電信 0.003204(126/223)	行政院長江宜樺 0.002683(103/196)	台北市議員 0.002344(88/208)	消防人員 0.002136(84/176)	租賃公司 0.00198(76/79)	悠遊卡公司 0.001927(70/136)	電動巴士 0.001849(69/72)	高雄市民 0.001823(71/180)	亞太電 0.001667(66/91)	開賣 0.001537(60/207)	
彭博報導 0.005848(245/394)	黃埔建軍 0.00346(143/148)	國際機場 0.002973(113/308)	人才招募 0.002437(102/197)	今天公布 0.002364(93/262)	主辦單位 0.002266(91/532)	學員們 0.002023(83/114)	社會福利 0.001974(80/286)	生技產業 0.001949(83/216)	推薦新聞 0.001949(76/552)	
時間上午 0.01083(458/1782)	翠玉白菜 0.008235(346/346)	故宮博物院 0.007521(315/316)	上午6時 0.007164(300/624)	國立故宮 0.006784(285/285)	2014年8月 0.006593(286/796)	國立博物館 0.004451(187/187)	週三台北 0.003761(158/610)	沒人 0.003666(150/364)	神品至寶展 0.003547(149/149)	
國民黨主席 0.004669(182/218)	副總統吳敦義 0.004566(182/356)	島國前進 0.003053(124/155)	中國國民黨 0.002925(112/416)	中山會報 0.002489(96/103)	國民黨副主席 0.002386(94/134)	身兼國民黨 0.002283(91/110)	張志軍來 0.002206(84/268)	合一選舉 0.002129(83/172)	看得到 0.002001(78/158)	
基隆市長 0.014881(789/789)	馬英九總統 0.005149(269/714)	國民黨提名 0.004564(242/266)	議長黃景泰 0.004413(233/384)	參選基隆 0.004244(225/225)	黨中央 0.002905(162/490)	市長選舉 0.002829(146/299)	基隆市議會 0.002773(147/147)	市議會議長 0.002395(126/132)	市長參選人 0.002282(131/712)	
合宜住宅 0.018587(941/944)	社會住宅 0.014503(732/792)	自由經濟 0.009432(476/770)	經濟示範區 0.008426(433/708)	桃園縣政府 0.005545(283/354)	八德合宜 0.005308(268/269)	住宅政策 0.005269(268/286)	涉貪 0.005052(254/343)	副縣長 0.004973(265/562)	營建署長 0.004085(207/207)	
冰桶挑戰 0.007656(318/318)	凍人協會 0.003058(127/148)	企業社會 0.002721(113/220)	接受挑戰 0.002311(96/132)	經濟部工業局 0.002263(95/216)	凍人募款 0.002215(92/92)	公益活動 0.002047(82/340)	系列產品 0.001926(72/165)	勞動部 0.001806(71/460)	捐錢 0.001734(74/88)	
應變中心 0.006603(245/470)	供應鏈 0.006306(248/584)	數據顯示 0.004851(173/302)	季業績 0.004635(173/315)	宏達電 0.004258(157/211)	運動中心 0.003638(134/172)	法人指出 0.003045(116/274)	新低 0.003018(112/200)	機車騎士 0.002776(102/115)	相關產品 0.002318(86/194)	
有效降低 0.002135(84/122)	8月27日 0.002058(82/146)	世足賽 0.00162(66/400)	中元普渡 0.001595(65/114)	年輕族群 0.001389(51/230)	資助人 0.001389(54/54)	台灣市場 0.001286(48/286)	夥伴關係 0.00126(45/193)	搖滾音樂 0.00126(49/59)	空軍司令部 0.00126(53/95)	
歷史新高 0.012681(511/928)	台中市長 0.008537(347/622)	大台中 0.005311(215/218)	市長胡志強 0.005038(197/654)	競選總部 0.004616(191/358)	參選人林佳龍 0.003648(147/147)	胡市長 0.002904(116/161)	市長參選人 0.002656(124/712)	媒體詢問 0.002531(103/280)	民進黨台中 0.002457(99/99)	
台灣大道 0.003979(181/246)	快捷巴士 0.003739(174/202)	局長林良泰 0.002864(131/131)	開發單位 0.002602(120/122)	靜宜大學 0.002143(98/98)	世界盃足球賽 0.001924(85/220)	通過環評 0.001815(82/94)	交通局長 0.001662(80/251)	登錄興櫃 0.001552(68/111)	雙節 0.001487(68/86)	
