戶政事務所 0.005619(195/200)	河靜鋼鐵 0.003707(128/128)	7月1日 0.00336(121/602)	台塑集團 0.002925(98/292)	機會獲得 0.002491(86/120)	中心主任 0.002404(85/414)	抽獎活動 0.002288(80/122)	便民服務 0.00197(68/84)	水上樂園 0.001709(51/93)	出生登記 0.001535(53/53)	
中國大陸 0.068733(3921/4584)	國家主席 0.010827(622/624)	大陸國家 0.010445(606/634)	主席習 0.006343(357/484)	翠玉白菜 0.005909(340/346)	美國總統 0.005857(340/462)	故宮博物院 0.00544(312/316)	國立故宮 0.004918(283/285)	總統歐巴馬 0.004814(271/400)	總統朴槿惠 0.00365(209/228)	
中華電信 0.026235(1046/1046)	年增 0.007018(283/694)	台灣大 0.005157(206/214)	為例 0.005031(208/836)	新車 0.004981(206/358)	台灣大哥大 0.004955(198/198)	集團旗下 0.004628(182/382)	大股東 0.003874(151/356)	市場預期 0.003597(142/358)	遠傳電信 0.003572(141/182)	
家扶中心 0.010353(342/353)	主辦單位 0.008783(292/532)	官員說 0.003441(115/324)	加密手機 0.003169(105/105)	下午3時 0.001962(66/246)	通過環評 0.001872(60/94)	航空城捷運 0.00166(55/55)	特種部隊 0.00157(55/90)	日租套房 0.001419(47/47)	審慎樂觀 0.001419(48/148)	
環境影響 0.003253(114/160)	開發單位 0.002817(96/122)	總統大選 0.002091(66/460)	分離主義 0.001917(63/179)	水污染 0.001859(57/90)	影響評估 0.001801(64/152)	環保局表示 0.001655(59/154)	污染防治 0.001655(64/94)	洽詢電話 0.001597(52/302)	跨領域 0.001568(56/98)	
弱勢家庭 0.004259(128/316)	電力公司 0.003264(103/152)	慈善基金會 0.002052(64/255)	台灣產業 0.001803(58/228)	高收益債 0.001679(55/144)	詐騙集團 0.001648(53/76)	大陸地區 0.001648(51/226)	副主委張顯耀 0.001586(51/149)	環境教育 0.00143(44/160)	績效獎金 0.001399(44/65)	
參選人連勝文 0.015519(728/728)	國民黨台北市長 0.012106(564/564)	台北市長參選人 0.010689(485/1282)	在野整合 0.00498(229/294)	競選總部 0.004186(193/358)	競選總幹事 0.003563(167/188)	民調結果 0.003499(163/326)	宣布參選 0.003477(166/273)	連勝文競選 0.00322(150/150)	民調顯示 0.00307(142/194)	
字頭 0.003573(117/188)	新台幣兌 0.003357(113/259)	小跌 0.003111(100/180)	主辦單位 0.002926(96/532)	加權指數 0.002649(88/219)	歡迎民眾 0.002495(73/204)	精品業者 0.002033(66/66)	國際股市 0.00191(60/101)	一日遊 0.001756(61/110)	標準普爾 0.001725(56/110)	
基本工資 0.008601(295/700)	創新高 0.007034(241/652)	物價指數 0.006355(211/292)	工資審議 0.005557(188/188)	消費者物價 0.00464(153/226)	國泰世華 0.003961(134/193)	今年7月 0.003724(120/302)	審議委員會 0.002897(98/290)	7月營收 0.002867(95/251)	購物中心 0.00269(88/358)	
陳震遠 0.004267(151/151)	陳震武 0.003137(111/111)	舉行記者會 0.003109(108/308)	中央銀行 0.002572(84/188)	台聯黨團 0.001809(64/151)	國際期刊 0.001781(63/63)	教育部長蔣偉寧 0.001639(58/134)	業者吳榮和 0.001639(58/58)	金融業者 0.001611(58/66)	天然氣公司 0.001554(54/96)	
世足賽 0.008705(276/400)	協會理事長 0.007748(249/388)	呼籲民眾 0.004751(151/250)	容積移轉 0.002423(78/78)	都市更新 0.002264(76/342)	參賽者 0.002232(72/132)	生物多樣性 0.002168(69/248)	體驗活動 0.002105(65/232)	恢復正常 0.001977(61/236)	公共設施 0.001818(63/176)	
新聞相關 0.071067(2554/2914)	相關影音 0.068239(2481/2756)	郝龍斌 0.036476(1329/1432)	台北市長郝 0.010588(388/440)	國民黨立委 0.009784(358/486)	縣長吳志揚 0.008648(316/374)	台北市政府 0.007512(278/372)	副縣長 0.006153(222/562)	民進黨立委 0.00607(204/734)	桃園縣長 0.005932(219/240)	
公共運輸 0.003447(114/190)	歐洲聯盟 0.002501(85/152)	請民眾 0.002349(82/170)	食品公司 0.001983(61/82)	上午7時 0.001861(63/124)	學生們 0.001769(60/176)	台中市政府 0.001678(53/312)	輕旅行 0.001678(55/90)	傳統文化 0.001647(56/108)	都市計畫 0.001525(48/444)	
募款晚會 0.002313(75/75)	暑假期間 0.002313(73/302)	金磚國家 0.002036(66/125)	行動代號 0.001974(65/89)	業者說 0.001851(56/154)	藍色大門 0.001789(58/58)	帶回家 0.001666(50/152)	試吃 0.001573(46/130)	累積雨量 0.001542(51/127)	感染者 0.001512(51/150)	
今年4月 0.00533(187/366)	交通管制 0.002433(89/125)	參選人游錫坤 0.001999(68/95)	大腸桿菌群超標 0.00197(68/68)	衛生管理法 0.001883(66/70)	生態園區 0.001825(61/76)	安全衛生 0.001796(59/120)	自然生態 0.001767(60/138)	電視面板 0.001738(60/88)	季財報 0.001709(60/162)	
